"","SeqId","TargetFullName","Target","UniProt","EntrezGeneSymbol","Units","Dilution","PlateScale_Reference","c"
"1","10000-28","Beta-crystallin B2","CRBB2","P43320","CRYBB2","RFU",20,"687.4","CRYBB2.10000.28"
"2","10001-7","RAF proto-oncogene serine/threonine-protein kinase","c-Raf","P04049","RAF1","RFU",20,"227.8","RAF1.10001.7"
"3","10003-15","Zinc finger protein 41","ZNF41","P51814","ZNF41","RFU",0.5,"126.9","ZNF41.10003.15"
"4","10006-25","ETS domain-containing protein Elk-1","ELK1","P19419","ELK1","RFU",20,"634.2","ELK1.10006.25"
"5","10008-43","Guanylyl cyclase-activating protein 1","GUC1A","P43080","GUCA1A","RFU",20,"585.0","GUCA1A.10008.43"
"6","10011-65","Inositol polyphosphate 5-phosphatase OCRL-1","OCRL","Q01968","OCRL","RFU",20,"2807.1","OCRL.10011.65"
"7","10012-5","SAM pointed domain-containing Ets transcription factor","SPDEF","O95238","SPDEF","RFU",20,"1623.3","SPDEF.10012.5"
"9","10014-31","Zinc finger protein SNAI2","SLUG","O43623","SNAI2","RFU",20,"857.2","SNAI2.10014.31"
"10","10015-119","Voltage-gated potassium channel subunit beta-2","KCAB2","Q13303","KCNAB2","RFU",20,"443.3","KCNAB2.10015.119"
"12","10022-207","DNA polymerase eta","POLH","Q9Y253","POLH","RFU",20,"202.6","POLH.10022.207"
"13","10023-32","Vitamin D3 receptor","VDR","P11473","VDR","RFU",20,"489.2","VDR.10023.32"
"14","10024-44","4-hydroxy-2-oxoglutarate aldolase, mitochondrial","HOGA1","Q86XE5","HOGA1","RFU",20,"851.9","HOGA1.10024.44"
"15","10030-8","Adenine DNA glycosylase","MutY homolog","Q9UIF7","MUTYH","RFU",20,"198.8","MUTYH.10030.8"
"17","10035-6","Dual specificity protein phosphatase 4","DUS4","Q13115","DUSP4","RFU",20,"570.1","DUSP4.10035.6"
"18","10036-201","Zinc fingers and homeoboxes protein 3","ZHX3","Q9H4I2","ZHX3","RFU",0.5,"2890.8","ZHX3.10036.201"
"19","10037-98","Sialic acid-binding Ig-like lectin 12","SIG12","Q96PQ1","SIGLEC12","RFU",20,"191.7","SIGLEC12.10037.98"
"21","10041-3","Hepatocyte nuclear factor 4-alpha","HNF4A","P41235","HNF4A","RFU",0.5,"34649.9","HNF4A.10041.3"
"22","10042-8","Serine/threonine-protein kinase Sgk3","SGK3","Q96BR1","SGK3","RFU",20,"745.5","SGK3.10042.8"
"23","10043-31","Bromodomain-containing protein 4","BRD4","O60885","BRD4","RFU",20,"449.1","BRD4.10043.31"
"24","10045-47","Cullin-3","CUL3","Q13618","CUL3","RFU",20,"588.3","CUL3.10045.47"
"25","10046-55","Baculoviral IAP repeat-containing protein 2","cIAP-1","Q13490","BIRC2","RFU",20,"943.9","BIRC2.10046.55"
"26","10048-7","Core-binding factor subunit beta","PEBB","Q13951","CBFB","RFU",20,"1525.1","CBFB.10048.7"
"27","10049-112","Telomeric repeat-binding factor 1","TERF1","P54274","TERF1","RFU",20,"469.0","TERF1.10049.112"
"28","10053-5","Integrin-linked protein kinase","ILK1","Q13418","ILK","RFU",20,"1238.2","ILK.10053.5"
"29","10054-3","Gigaxonin","GAN","Q9H2C0","GAN","RFU",20,"368.2","GAN.10054.3"
"30","10056-5","Forkhead box protein M1","FOXM1","Q08050","FOXM1","RFU",20,"760.4","FOXM1.10056.5"
"31","10058-1","UV excision repair protein RAD23 homolog A","RD23A","P54725","RAD23A","RFU",20,"8880.1","RAD23A.10058.1"
"32","10063-10","E3 ubiquitin-protein ligase FANCL","FANCL","Q9NW38","FANCL","RFU",20,"445.0","FANCL.10063.10"
"33","10064-12","Putative hydrolase RBBP9","RBBP9","O75884","RBBP9","RFU",0.5,"1297.9","RBBP9.10064.12"
"34","10070-22","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2","PLCG2","P16885","PLCG2","RFU",20,"485.9","PLCG2.10070.22"
"35","10073-22","Tyrosyl-DNA phosphodiesterase 1","TYDP1","Q9NUW8","TDP1","RFU",20,"529.2","TDP1.10073.22"
"36","10074-128","Bromodomain-containing protein 2","BRD2","P25440","BRD2","RFU",20,"711.0","BRD2.10074.128"
"37","10075-75","Acyl-CoA-binding domain-containing protein 6","ACBD6","Q9BR61","ACBD6","RFU",20,"108.9","ACBD6.10075.75"
"38","10076-1","AP-4 complex subunit mu-1","AP4M1","O00189","AP4M1","RFU",20,"956.2","AP4M1.10076.1"
"39","10078-5","BAG family molecular chaperone regulator 3","BAG3","O95817","BAG3","RFU",20,"616.4","BAG3.10078.5"
"40","10080-9","Translation initiation factor eIF-2B subunit alpha","EI2BA","Q14232","EIF2B1","RFU",20,"711.4","EIF2B1.10080.9"
"41","10081-17","DNA-binding protein SATB2","SATB2","Q9UPW6","SATB2","RFU",20,"553.3","SATB2.10081.17"
"42","10082-251","Neurofilament light polypeptide","NFL","P07196","NEFL","RFU",0.5,"704.4","NEFL.10082.251"
"43","10085-25","Steroidogenic acute regulatory protein, mitochondrial","STAR","P49675","STAR","RFU",0.5,"1305.4","STAR.10085.25"
"44","10086-39","Cystathionine beta-synthase","CBS","P35520","CBS","RFU",20,"1914.8","CBS.10086.39"
"46","10088-37","Adenine phosphoribosyltransferase","APT","P07741","APRT","RFU",20,"287.8","APRT.10088.37"
"47","10089-7","N-acetylserotonin O-methyltransferase-like protein","ASML","O95671","ASMTL","RFU",20,"448.9","ASMTL.10089.7"
"48","10336-3","E3 ubiquitin-protein ligase CHIP","CHIP","Q9UNE7","STUB1","RFU",20,"738.1","STUB1.10336.3"
"49","10339-48","Gamma-enolase","NSE","P09104","ENO2","RFU",20,"6681.0","ENO2.10339.48"
"50","10344-334","Interleukin-10 receptor subunit alpha","IL-10 Ra","Q13651","IL10RA","RFU",20,"3933.5","IL10RA.10344.334"
"51","10346-5","Signal transducer and activator of transcription 3","STAT3","P40763","STAT3","RFU",20,"3942.0","STAT3.10346.5"
"52","10356-21","Transcription factor AP-1","c-Jun","P05412","JUN","RFU",20,"1571.4","JUN.10356.21"
"53","10361-25","2'-5'-oligoadenylate synthase 1","OAS1","P00973","OAS1","RFU",20,"375.5","OAS1.10361.25"
"54","10362-35","Myc proto-oncogene protein","c-Myc","P01106","MYC","RFU",20,"546.8","MYC.10362.35"
"55","10363-13","Mothers against decapentaplegic homolog 3","SMAD3","P84022","SMAD3","RFU",20,"2560.7","SMAD3.10363.13"
"56","10364-6","Mothers against decapentaplegic homolog 2","SMAD2","Q15796","SMAD2","RFU",20,"1277.6","SMAD2.10364.6"
"57","10365-132","Interleukin-23","IL-23","P29460 Q9NPF7","IL12B IL23A","RFU",20,"863.2","IL12B.IL23A.10365.132"
